PromptId,Order,Role,Agent,Phase,Slice,Title,File,RequiresEvidence,RequiresJudge,GateLevel,DependsOn,ExpectedEvidence,ExpectedJudge,RequiredInputs,RequiredOutputs,Status,Note,UpdatedAt,Attempt
M6-P0010,10,PM_ORCHESTRATOR,m6-pm-orchestrator,BOOTSTRAP,BOOTSTRAP,BOOTSTRAP_READINESS,00-spec/prompts/0010_M6-P0010_BOOTSTRAP_READINESS.xml.md,true,false,EVIDENCE_GATE,M6-P0009,04-artifacts/evidence/prompts/M6-P0010.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md,04-artifacts/evidence/prompts/M6-P0010.json,TODO,,2026-09-07T22:39:39,0
M6-P0011,11,JUDGE,m6-judge,BOOTSTRAP,BOOTSTRAP,BOOTSTRAP_GATE_JUDGE,00-spec/prompts/0011_M6-P0011_BOOTSTRAP_GATE_JUDGE.xml.md,true,true,JUDGE_GATE,M6-P0000;M6-P0001;M6-P0002;M6-P0003;M6-P0004;M6-P0005;M6-P0006;M6-P0007;M6-P0008;M6-P0009;M6-P0010,04-artifacts/evidence/prompts/M6-P0011.json,04-artifacts/evidence/judge/M6-P0011_JUDGE_FINAL_SIGN_OFF.json,00-spec/CLAUDE_CONTEXT_BRIEF.md;04-artifacts/evidence/prompts/M6-P0000.json;04-artifacts/evidence/prompts/M6-P0001.json;04-artifacts/evidence/prompts/M6-P0002.json;04-artifacts/evidence/prompts/M6-P0003.json;04-artifacts/evidence/prompts/M6-P0004.json;04-artifacts/evidence/prompts/M6-P0005.json;04-artifacts/evidence/prompts/M6-P0006.json;04-artifacts/evidence/prompts/M6-P0007.json;04-artifacts/evidence/prompts/M6-P0008.json;04-artifacts/evidence/prompts/M6-P0009.json;04-artifacts/evidence/prompts/M6-P0010.json,04-artifacts/evidence/prompts/M6-P0011.json;04-artifacts/evidence/judge/M6-P0011_JUDGE_FINAL_SIGN_OFF.json,TODO,,2026-09-07T22:39:39,0
M6-P0100,12,ANALYST_ARCHITECT,m6-analyst-architect,DOC_LOCK,DOC_LOCK,LOCK_SOT_PRECEDENCE,00-spec/prompts/0012_M6-P0100_LOCK_SOT_PRECEDENCE.xml.md,true,false,EVIDENCE_GATE,M6-P0011,04-artifacts/evidence/prompts/M6-P0100.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/SPEC.md#5;00-spec/M6_FULL_DETAIL_EXTRACT.md,04-artifacts/evidence/prompts/M6-P0100.json,TODO,,2026-09-07T22:39:39,0
M6-P0101,13,ANALYST_ARCHITECT,m6-analyst-architect,DOC_LOCK,DOC_LOCK,LOCK_BOUNDARY,00-spec/prompts/0013_M6-P0101_LOCK_BOUNDARY.xml.md,true,false,EVIDENCE_GATE,M6-P0100,04-artifacts/evidence/prompts/M6-P0101.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/SPEC.md#4;00-spec/M6_FULL_DETAIL_EXTRACT.md,04-artifacts/evidence/prompts/M6-P0101.json,TODO,,2026-09-07T22:39:39,0
M6-P0102,14,ANALYST_ARCHITECT,m6-analyst-architect,DOC_LOCK,DOC_LOCK,LOCK_RULE_REGISTER,00-spec/prompts/0014_M6-P0102_LOCK_RULE_REGISTER.xml.md,true,false,EVIDENCE_GATE,M6-P0101,04-artifacts/evidence/prompts/M6-P0102.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/registers/RULES_LOCKED.md;00-spec/M6_FULL_DETAIL_EXTRACT.md,04-artifacts/evidence/prompts/M6-P0102.json,TODO,,2026-09-07T22:39:39,0
M6-P0103,15,ANALYST_ARCHITECT,m6-analyst-architect,DOC_LOCK,DOC_LOCK,LOCK_FAIL_GATES,00-spec/prompts/0015_M6-P0103_LOCK_FAIL_GATES.xml.md,true,false,EVIDENCE_GATE,M6-P0102,04-artifacts/evidence/prompts/M6-P0103.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/registers/FAIL_GATE_REGISTER.md;00-spec/M6_FULL_DETAIL_EXTRACT.md,04-artifacts/evidence/prompts/M6-P0103.json,TODO,,2026-09-07T22:39:39,0
M6-P0104,16,ANALYST_ARCHITECT,m6-analyst-architect,DOC_LOCK,DOC_LOCK,LOCK_SMOKE_REGISTER,00-spec/prompts/0016_M6-P0104_LOCK_SMOKE_REGISTER.xml.md,true,false,EVIDENCE_GATE,M6-P0103,04-artifacts/evidence/prompts/M6-P0104.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/registers/SMOKE_REGISTER.md;00-spec/M6_FULL_DETAIL_EXTRACT.md,04-artifacts/evidence/prompts/M6-P0104.json,TODO,,2026-09-07T22:39:39,0
M6-P0105,17,ANALYST_ARCHITECT,m6-analyst-architect,DOC_LOCK,DOC_LOCK,LOCK_CONTRACTS,00-spec/prompts/0017_M6-P0105_LOCK_CONTRACTS.xml.md,true,false,EVIDENCE_GATE,M6-P0104,04-artifacts/evidence/prompts/M6-P0105.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/registers/CONTRACT_REGISTER.md;00-spec/M6_FULL_DETAIL_EXTRACT.md,04-artifacts/evidence/prompts/M6-P0105.json,TODO,,2026-09-07T22:39:39,0
M6-P0106,18,ANALYST_ARCHITECT,m6-analyst-architect,DOC_LOCK,DOC_LOCK,LOCK_SCHEMAS,00-spec/prompts/0018_M6-P0106_LOCK_SCHEMAS.xml.md,true,false,EVIDENCE_GATE,M6-P0105,04-artifacts/evidence/prompts/M6-P0106.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/SPEC.md#10;00-spec/M6_FULL_DETAIL_EXTRACT.md,04-artifacts/evidence/prompts/M6-P0106.json,TODO,,2026-09-07T22:39:39,0
M6-P0107,19,ANALYST_ARCHITECT,m6-analyst-architect,DOC_LOCK,DOC_LOCK,LOCK_DECISIONS,00-spec/prompts/0019_M6-P0107_LOCK_DECISIONS.xml.md,true,false,EVIDENCE_GATE,M6-P0106,04-artifacts/evidence/prompts/M6-P0107.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/registers/DECISION_REGISTER.md;00-spec/M6_FULL_DETAIL_EXTRACT.md,04-artifacts/evidence/prompts/M6-P0107.json,TODO,,2026-09-07T22:39:39,0
M6-P0108,20,ANALYST_ARCHITECT,m6-analyst-architect,DOC_LOCK,DOC_LOCK,LOCK_LEXICON,00-spec/prompts/0020_M6-P0108_LOCK_LEXICON.xml.md,true,false,EVIDENCE_GATE,M6-P0107,04-artifacts/evidence/prompts/M6-P0108.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/registers/LEXICON_REGISTER.md;00-spec/M6_FULL_DETAIL_EXTRACT.md,04-artifacts/evidence/prompts/M6-P0108.json,TODO,,2026-09-07T22:39:39,0
M6-P0109,21,ANALYST_ARCHITECT,m6-analyst-architect,DOC_LOCK,DOC_LOCK,LOCK_MONITORING,00-spec/prompts/0021_M6-P0109_LOCK_MONITORING.xml.md,true,false,EVIDENCE_GATE,M6-P0108,04-artifacts/evidence/prompts/M6-P0109.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/registers/MONITORING_REGISTER.md;00-spec/M6_FULL_DETAIL_EXTRACT.md,04-artifacts/evidence/prompts/M6-P0109.json,TODO,,2026-09-07T22:39:39,0
M6-P0110,22,ANALYST_ARCHITECT,m6-analyst-architect,DOC_LOCK,DOC_LOCK,LOCK_ENTRY_EVIDENCE,00-spec/prompts/0022_M6-P0110_LOCK_ENTRY_EVIDENCE.xml.md,true,false,EVIDENCE_GATE,M6-P0109,04-artifacts/evidence/prompts/M6-P0110.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/registers/ENTRY_EVIDENCE_REGISTER.md;00-spec/M6_FULL_DETAIL_EXTRACT.md,04-artifacts/evidence/prompts/M6-P0110.json,TODO,,2026-09-07T22:39:39,0
M6-P0111,23,ANALYST_ARCHITECT,m6-analyst-architect,DOC_LOCK,DOC_LOCK,LOCK_SLICES,00-spec/prompts/0023_M6-P0111_LOCK_SLICES.xml.md,true,false,EVIDENCE_GATE,M6-P0110,04-artifacts/evidence/prompts/M6-P0111.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/slices/slice_definitions.json;00-spec/M6_FULL_DETAIL_EXTRACT.md,04-artifacts/evidence/prompts/M6-P0111.json,TODO,,2026-09-07T22:39:39,0
M6-P0112,24,ANALYST_ARCHITECT,m6-analyst-architect,DOC_LOCK,DOC_LOCK,DOC_LOCK_CONSOLIDATION,00-spec/prompts/0024_M6-P0112_DOC_LOCK_CONSOLIDATION.xml.md,true,false,EVIDENCE_GATE,M6-P0111,04-artifacts/evidence/prompts/M6-P0112.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/registers/SCHEMA_CHANGELOG.md;00-spec/M6_FULL_DETAIL_EXTRACT.md,04-artifacts/evidence/prompts/M6-P0112.json,TODO,,2026-09-07T22:39:39,0
M6-P0113,25,JUDGE,m6-judge,DOC_LOCK,DOC_LOCK,DOC_LOCK_GATE_JUDGE,00-spec/prompts/0025_M6-P0113_DOC_LOCK_GATE_JUDGE.xml.md,true,true,JUDGE_GATE,M6-P0100;M6-P0101;M6-P0102;M6-P0103;M6-P0104;M6-P0105;M6-P0106;M6-P0107;M6-P0108;M6-P0109;M6-P0110;M6-P0111;M6-P0112,04-artifacts/evidence/prompts/M6-P0113.json,04-artifacts/evidence/judge/M6-P0113_JUDGE_FINAL_SIGN_OFF.json,00-spec/CLAUDE_CONTEXT_BRIEF.md;04-artifacts/evidence/prompts/M6-P0100.json;04-artifacts/evidence/prompts/M6-P0101.json;04-artifacts/evidence/prompts/M6-P0102.json;04-artifacts/evidence/prompts/M6-P0103.json;04-artifacts/evidence/prompts/M6-P0104.json;04-artifacts/evidence/prompts/M6-P0105.json;04-artifacts/evidence/prompts/M6-P0106.json;04-artifacts/evidence/prompts/M6-P0107.json;04-artifacts/evidence/prompts/M6-P0108.json;04-artifacts/evidence/prompts/M6-P0109.json;04-artifacts/evidence/prompts/M6-P0110.json;04-artifacts/evidence/prompts/M6-P0111.json;04-artifacts/evidence/prompts/M6-P0112.json,04-artifacts/evidence/prompts/M6-P0113.json;04-artifacts/evidence/judge/M6-P0113_JUDGE_FINAL_SIGN_OFF.json,TODO,,2026-09-07T22:39:39,0
M6-P0200,26,ANALYST_ARCHITECT,m6-analyst-architect,PHASE0_RESEARCH,PHASE0,RESEARCH_REPO_AUDIT_PLAN,00-spec/prompts/0026_M6-P0200_RESEARCH_REPO_AUDIT_PLAN.xml.md,true,false,EVIDENCE_GATE,M6-P0113,04-artifacts/evidence/prompts/M6-P0200.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/SPEC.md;00-spec/registers/CONTRACT_REGISTER.md,04-artifacts/evidence/prompts/M6-P0200.json;04-artifacts/analysis/research/RESEARCH_REPO_AUDIT_PLAN.md,TODO,,2026-09-07T22:39:39,0
M6-PC0200,27,BOUNDARY_ADVERSARY,m6-boundary-adversary,RESEARCH_CRITIC,PHASE0,RESEARCH_REPO_AUDIT_PLAN_CRITIC,00-spec/prompts/0027_M6-PC0200_RESEARCH_REPO_AUDIT_PLAN_CRITIC.xml.md,true,false,EVIDENCE_GATE,M6-P0200,04-artifacts/evidence/prompts/M6-PC0200.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;04-artifacts/analysis/research/RESEARCH_REPO_AUDIT_PLAN.md;04-artifacts/evidence/prompts/M6-P0200.json,04-artifacts/evidence/prompts/M6-PC0200.json;04-artifacts/boundary-reports/RESEARCH_REPO_AUDIT_PLAN_critique.md,TODO,,2026-09-07T22:39:39,0
M6-P0201,28,ANALYST_ARCHITECT,m6-analyst-architect,PHASE0_RESEARCH,PHASE0,RESEARCH_EVENT_REGISTRY_INTEGRATION,00-spec/prompts/0028_M6-P0201_RESEARCH_EVENT_REGISTRY_INTEGRATION.xml.md,true,false,EVIDENCE_GATE,M6-PC0200,04-artifacts/evidence/prompts/M6-P0201.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/SPEC.md;00-spec/registers/CONTRACT_REGISTER.md,04-artifacts/evidence/prompts/M6-P0201.json;04-artifacts/analysis/research/RESEARCH_EVENT_REGISTRY_INTEGRATION.md,TODO,,2026-09-07T22:39:39,0
M6-PC0201,29,BOUNDARY_ADVERSARY,m6-boundary-adversary,RESEARCH_CRITIC,PHASE0,RESEARCH_EVENT_REGISTRY_INTEGRATION_CRITIC,00-spec/prompts/0029_M6-PC0201_RESEARCH_EVENT_REGISTRY_INTEGRATION_CRITIC.xml.md,true,false,EVIDENCE_GATE,M6-P0201,04-artifacts/evidence/prompts/M6-PC0201.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;04-artifacts/analysis/research/RESEARCH_EVENT_REGISTRY_INTEGRATION.md;04-artifacts/evidence/prompts/M6-P0201.json,04-artifacts/evidence/prompts/M6-PC0201.json;04-artifacts/boundary-reports/RESEARCH_EVENT_REGISTRY_INTEGRATION_critique.md,TODO,,2026-09-07T22:39:39,0
M6-P0202,30,ANALYST_ARCHITECT,m6-analyst-architect,PHASE0_RESEARCH,PHASE0,RESEARCH_IDENTITY_CONSENT,00-spec/prompts/0030_M6-P0202_RESEARCH_IDENTITY_CONSENT.xml.md,true,false,EVIDENCE_GATE,M6-PC0201,04-artifacts/evidence/prompts/M6-P0202.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/SPEC.md;00-spec/registers/CONTRACT_REGISTER.md,04-artifacts/evidence/prompts/M6-P0202.json;04-artifacts/analysis/research/RESEARCH_IDENTITY_CONSENT.md,TODO,,2026-09-07T22:39:39,0
M6-PC0202,31,BOUNDARY_ADVERSARY,m6-boundary-adversary,RESEARCH_CRITIC,PHASE0,RESEARCH_IDENTITY_CONSENT_CRITIC,00-spec/prompts/0031_M6-PC0202_RESEARCH_IDENTITY_CONSENT_CRITIC.xml.md,true,false,EVIDENCE_GATE,M6-P0202,04-artifacts/evidence/prompts/M6-PC0202.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;04-artifacts/analysis/research/RESEARCH_IDENTITY_CONSENT.md;04-artifacts/evidence/prompts/M6-P0202.json,04-artifacts/evidence/prompts/M6-PC0202.json;04-artifacts/boundary-reports/RESEARCH_IDENTITY_CONSENT_critique.md,TODO,,2026-09-07T22:39:39,0
M6-P0203,32,ANALYST_ARCHITECT,m6-analyst-architect,PHASE0_RESEARCH,PHASE0,RESEARCH_OUTBOX_WORKER_PATTERNS,00-spec/prompts/0032_M6-P0203_RESEARCH_OUTBOX_WORKER_PATTERNS.xml.md,true,false,EVIDENCE_GATE,M6-PC0202,04-artifacts/evidence/prompts/M6-P0203.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/SPEC.md;00-spec/registers/CONTRACT_REGISTER.md,04-artifacts/evidence/prompts/M6-P0203.json;04-artifacts/analysis/research/RESEARCH_OUTBOX_WORKER_PATTERNS.md,TODO,,2026-09-07T22:39:39,0
M6-PC0203,33,BOUNDARY_ADVERSARY,m6-boundary-adversary,RESEARCH_CRITIC,PHASE0,RESEARCH_OUTBOX_WORKER_PATTERNS_CRITIC,00-spec/prompts/0033_M6-PC0203_RESEARCH_OUTBOX_WORKER_PATTERNS_CRITIC.xml.md,true,false,EVIDENCE_GATE,M6-P0203,04-artifacts/evidence/prompts/M6-PC0203.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;04-artifacts/analysis/research/RESEARCH_OUTBOX_WORKER_PATTERNS.md;04-artifacts/evidence/prompts/M6-P0203.json,04-artifacts/evidence/prompts/M6-PC0203.json;04-artifacts/boundary-reports/RESEARCH_OUTBOX_WORKER_PATTERNS_critique.md,TODO,,2026-09-07T22:39:39,0
M6-P0204,34,ANALYST_ARCHITECT,m6-analyst-architect,PHASE0_RESEARCH,PHASE0,RESEARCH_META_PIXEL_CAPI_DEDUP,00-spec/prompts/0034_M6-P0204_RESEARCH_META_PIXEL_CAPI_DEDUP.xml.md,true,false,EVIDENCE_GATE,M6-PC0203,04-artifacts/evidence/prompts/M6-P0204.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/SPEC.md;00-spec/registers/CONTRACT_REGISTER.md,04-artifacts/evidence/prompts/M6-P0204.json;04-artifacts/analysis/research/RESEARCH_META_PIXEL_CAPI_DEDUP.md,TODO,,2026-09-07T22:39:39,0
M6-PC0204,35,BOUNDARY_ADVERSARY,m6-boundary-adversary,RESEARCH_CRITIC,PHASE0,RESEARCH_META_PIXEL_CAPI_DEDUP_CRITIC,00-spec/prompts/0035_M6-PC0204_RESEARCH_META_PIXEL_CAPI_DEDUP_CRITIC.xml.md,true,false,EVIDENCE_GATE,M6-P0204,04-artifacts/evidence/prompts/M6-PC0204.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;04-artifacts/analysis/research/RESEARCH_META_PIXEL_CAPI_DEDUP.md;04-artifacts/evidence/prompts/M6-P0204.json,04-artifacts/evidence/prompts/M6-PC0204.json;04-artifacts/boundary-reports/RESEARCH_META_PIXEL_CAPI_DEDUP_critique.md,TODO,,2026-09-07T22:39:39,0
M6-P0205,36,ANALYST_ARCHITECT,m6-analyst-architect,PHASE0_RESEARCH,PHASE0,RESEARCH_OFFLINE_CONVERSIONS,00-spec/prompts/0036_M6-P0205_RESEARCH_OFFLINE_CONVERSIONS.xml.md,true,false,EVIDENCE_GATE,M6-PC0204,04-artifacts/evidence/prompts/M6-P0205.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/SPEC.md;00-spec/registers/CONTRACT_REGISTER.md,04-artifacts/evidence/prompts/M6-P0205.json;04-artifacts/analysis/research/RESEARCH_OFFLINE_CONVERSIONS.md,TODO,,2026-09-07T22:39:39,0
M6-PC0205,37,BOUNDARY_ADVERSARY,m6-boundary-adversary,RESEARCH_CRITIC,PHASE0,RESEARCH_OFFLINE_CONVERSIONS_CRITIC,00-spec/prompts/0037_M6-PC0205_RESEARCH_OFFLINE_CONVERSIONS_CRITIC.xml.md,true,false,EVIDENCE_GATE,M6-P0205,04-artifacts/evidence/prompts/M6-PC0205.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;04-artifacts/analysis/research/RESEARCH_OFFLINE_CONVERSIONS.md;04-artifacts/evidence/prompts/M6-P0205.json,04-artifacts/evidence/prompts/M6-PC0205.json;04-artifacts/boundary-reports/RESEARCH_OFFLINE_CONVERSIONS_critique.md,TODO,,2026-09-07T22:39:39,0
M6-P0206,38,ANALYST_ARCHITECT,m6-analyst-architect,PHASE0_RESEARCH,PHASE0,RESEARCH_ATTRIBUTION_MODELS,00-spec/prompts/0038_M6-P0206_RESEARCH_ATTRIBUTION_MODELS.xml.md,true,false,EVIDENCE_GATE,M6-PC0205,04-artifacts/evidence/prompts/M6-P0206.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/SPEC.md;00-spec/registers/CONTRACT_REGISTER.md,04-artifacts/evidence/prompts/M6-P0206.json;04-artifacts/analysis/research/RESEARCH_ATTRIBUTION_MODELS.md,TODO,,2026-09-07T22:39:39,0
M6-PC0206,39,BOUNDARY_ADVERSARY,m6-boundary-adversary,RESEARCH_CRITIC,PHASE0,RESEARCH_ATTRIBUTION_MODELS_CRITIC,00-spec/prompts/0039_M6-PC0206_RESEARCH_ATTRIBUTION_MODELS_CRITIC.xml.md,true,false,EVIDENCE_GATE,M6-P0206,04-artifacts/evidence/prompts/M6-PC0206.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;04-artifacts/analysis/research/RESEARCH_ATTRIBUTION_MODELS.md;04-artifacts/evidence/prompts/M6-P0206.json,04-artifacts/evidence/prompts/M6-PC0206.json;04-artifacts/boundary-reports/RESEARCH_ATTRIBUTION_MODELS_critique.md,TODO,,2026-09-07T22:39:39,0
M6-P0207,40,ANALYST_ARCHITECT,m6-analyst-architect,PHASE0_RESEARCH,PHASE0,RESEARCH_DASHBOARD_DATA_QUALITY,00-spec/prompts/0040_M6-P0207_RESEARCH_DASHBOARD_DATA_QUALITY.xml.md,true,false,EVIDENCE_GATE,M6-PC0206,04-artifacts/evidence/prompts/M6-P0207.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/SPEC.md;00-spec/registers/CONTRACT_REGISTER.md,04-artifacts/evidence/prompts/M6-P0207.json;04-artifacts/analysis/research/RESEARCH_DASHBOARD_DATA_QUALITY.md,TODO,,2026-09-07T22:39:39,0
M6-PC0207,41,BOUNDARY_ADVERSARY,m6-boundary-adversary,RESEARCH_CRITIC,PHASE0,RESEARCH_DASHBOARD_DATA_QUALITY_CRITIC,00-spec/prompts/0041_M6-PC0207_RESEARCH_DASHBOARD_DATA_QUALITY_CRITIC.xml.md,true,false,EVIDENCE_GATE,M6-P0207,04-artifacts/evidence/prompts/M6-PC0207.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;04-artifacts/analysis/research/RESEARCH_DASHBOARD_DATA_QUALITY.md;04-artifacts/evidence/prompts/M6-P0207.json,04-artifacts/evidence/prompts/M6-PC0207.json;04-artifacts/boundary-reports/RESEARCH_DASHBOARD_DATA_QUALITY_critique.md,TODO,,2026-09-07T22:39:39,0
M6-P0208,42,ANALYST_ARCHITECT,m6-analyst-architect,PHASE0_RESEARCH,PHASE0,RESEARCH_SCALE_GATE_WORKFLOW,00-spec/prompts/0042_M6-P0208_RESEARCH_SCALE_GATE_WORKFLOW.xml.md,true,false,EVIDENCE_GATE,M6-PC0207,04-artifacts/evidence/prompts/M6-P0208.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;00-spec/SPEC.md;00-spec/registers/CONTRACT_REGISTER.md,04-artifacts/evidence/prompts/M6-P0208.json;04-artifacts/analysis/research/RESEARCH_SCALE_GATE_WORKFLOW.md,TODO,,2026-09-07T22:39:39,0
M6-PC0208,43,BOUNDARY_ADVERSARY,m6-boundary-adversary,RESEARCH_CRITIC,PHASE0,RESEARCH_SCALE_GATE_WORKFLOW_CRITIC,00-spec/prompts/0043_M6-PC0208_RESEARCH_SCALE_GATE_WORKFLOW_CRITIC.xml.md,true,false,EVIDENCE_GATE,M6-P0208,04-artifacts/evidence/prompts/M6-PC0208.json,,00-spec/CLAUDE_CONTEXT_BRIEF.md;04-artifacts/analysis/research/RESEARCH_SCALE_GATE_WORKFLOW.md;04-artifacts/evidence/prompts/M6-P0208.json,04-artifacts/evidence/prompts/M6-PC0208.json;04-artifacts/boundary-reports/RESEARCH_SCALE_GATE_WORKFLOW_critique.md,TODO,,2026-09-07T22:39:39,0
